Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Delta,Day,Cumulative delta
2023-06-28 10:00:00,1860.85,1863.33,1859.0,1863.19,5316.3382,2023-06-28 10:59:59.999,9895031.447492,13320,3045.3284,5668401.295341,0,-2271.0098000000003,2023-06-28,-86219.65509999999
2023-06-28 11:00:00,1863.2,1865.2,1861.0,1861.1,5149.9138,2023-06-28 11:59:59.999,9594276.725558,13345,2653.4901,4943742.56603,0,-2496.4237000000003,2023-06-28,-88716.07879999999
2023-06-28 12:00:00,1861.1,1864.67,1849.9,1852.65,16596.4501,2023-06-28 12:59:59.999,30814130.737542,21505,7598.2795,14106897.379864,0,-8998.170599999998,2023-06-28,-97714.24939999999
2023-06-28 13:00:00,1852.65,1859.18,1845.06,1857.12,16090.541,2023-06-28 13:59:59.999,29818607.040455,22192,8035.9884,14892901.37671,0,-8054.552599999999,2023-06-28,-105768.802
2023-06-28 14:00:00,1857.11,1868.41,1853.0,1857.99,16301.5608,2023-06-28 14:59:59.999,30349565.510726,23034,8501.6056,15829392.812511,0,-7799.9551999999985,2023-06-28,-113568.7572
2023-06-28 15:00:00,1857.99,1863.31,1855.0,1859.6,8407.9939,2023-06-28 15:59:59.999,15635838.205967,13143,4002.8258,7443953.721689,0,-4405.168099999999,2023-06-28,-117973.92529999999
2023-06-28 16:00:00,1859.6,1864.86,1855.0,1855.02,10805.6134,2023-06-28 16:59:59.999,20088916.629568,13620,4506.192,8379087.577512,0,-6299.4214,2023-06-28,-124273.34669999998
2023-06-28 17:00:00,1855.02,1856.7,1842.0,1848.65,20118.7358,2023-06-28 17:59:59.999,37184478.960268,24953,9388.4534,17353437.78736,0,-10730.282399999998,2023-06-28,-135003.6291
2023-06-28 18:00:00,1848.64,1852.51,1846.26,1847.47,4948.8499,2023-06-28 18:59:59.999,9153605.590432,10323,2454.9072,4541108.004865,0,-2493.9427,2023-06-28,-137497.57179999998
2023-06-28 19:00:00,1847.47,1850.42,1816.56,1832.45,39475.9632,2023-06-28 19:59:59.999,72269591.851344,46955,17424.0798,31901955.553225,0,-22051.8834,2023-06-28,-159549.45519999997
2023-06-28 20:00:00,1832.46,1834.86,1825.08,1831.6,13147.978,2023-06-28 20:59:59.999,24054889.133704,17095,7765.3968,14208065.565531,0,-5382.581199999999,2023-06-28,-164932.03639999998
